,Ajoie,Bern,Biel,Bouveret,Bulle,Carouge,Châtel St Denis,Crans-Montana,Delémont,Ecublens,Fribourg,Gd Saconnex (GE),Genève Eaux Vives,Genève,Grindenwald,Gstaad,La Chaux de Fonds,Langnau,Lau,Lausanne,Le Locle,Les Diablerets,Meyrin,Monthey,Montreux,Morges,Moutier,Mézières,Neuchâtel,Nyon,Parlement Berne,Porrentruy,Port Valais,Servette,Servion,Sierre,Sion,St Maurice,Sâles  (FR),Thyon 2000,Tigers,Torgon,Vallée Joux,Vevey,Viège,Yverdon,Zinal,Zürich
Sâles  (FR),175.892,67.371,104.154,46.095,8.016,120.81,17.76,126.073,152.149,55.15,37.487,106.509,111.684,110.131,141.645,50.588,97.425,100.339,202.932,45.675,104.442,66.723,110.618,53.082,30.8,59.747,137.807,21.07,78.095,88.2,64.007,174.154,46.044,111.074,19.762,112.141,97.122,59.376,0.0,119.352,202.932,57.627,92.759,27.286,140.444,78.2,137.514,185.95
Thyon 2000,288.276,179.755,216.538,92.308,125.873,194.065,105.17,44.959,264.534,128.405,149.871,179.764,184.939,183.386,142.447,119.641,205.111,212.724,175.186,118.93,212.128,98.565,183.873,71.022,90.122,133.002,250.192,116.712,187.006,161.456,176.392,286.539,92.257,184.329,113.92,36.395,23.504,63.296,119.958,0.0,175.186,89.822,166.014,99.055,64.698,151.456,61.768,298.335
Tigers,160.256,139.601,135.219,242.045,197.599,305.723,213.711,151.446,136.513,240.063,170.906,291.422,296.597,295.044,68.786,120.092,173.904,85.868,0.0,244.743,194.991,141.142,295.531,249.032,226.75,244.66,123.445,219.482,168.644,273.114,143.37,158.518,241.995,295.987,218.692,138.75,156.675,255.326,202.782,173.697,0.0,253.578,256.105,223.236,132.637,211.729,160.864,81.738
Torgon,225.952,117.431,154.214,20.197,63.549,131.741,42.846,95.927,202.209,66.081,87.547,117.44,122.615,121.062,191.705,57.325,142.786,150.4,252.992,56.606,149.803,36.25,121.548,18.58,27.797,70.678,187.867,54.387,124.682,99.131,114.068,224.214,20.146,122.005,51.596,81.995,66.977,29.23,57.634,89.206,252.992,0.0,103.69,36.731,110.298,89.131,107.368,236.011
Vallée Joux,163.399,119.378,115.388,92.224,99.638,72.882,78.935,172.202,163.099,42.541,95.931,58.581,63.756,62.203,193.652,133.927,101.446,152.347,254.94,55.033,82.934,112.852,62.689,99.211,76.929,37.444,148.757,63.444,83.341,38.682,117.349,161.661,92.174,63.146,64.063,158.27,143.252,105.505,93.723,165.481,254.94,103.757,0.0,73.41,186.573,47.791,183.643,237.958
Vevey,196.148,87.627,124.41,25.083,33.745,101.947,13.042,105.061,172.405,36.287,57.743,87.646,92.821,91.267,161.901,66.787,112.992,120.596,223.188,18.483,120.009,45.711,91.754,32.07,7.139,40.884,158.063,19.496,94.888,69.337,84.264,194.41,25.033,92.211,16.704,91.129,76.111,38.365,27.83,98.341,223.188,36.616,73.896,0.0,119.432,59.337,116.503,206.207
Viège,211.812,102.488,140.074,111.947,145.513,213.705,124.81,41.61,188.07,148.045,169.511,199.404,204.579,203.026,100.629,139.28,224.75,108.022,133.368,138.57,231.767,118.205,203.512,90.661,109.761,152.642,173.727,136.351,206.646,181.095,103.931,210.075,111.897,203.969,133.56,28.914,46.839,82.935,139.598,63.861,133.368,109.462,185.654,118.695,0.0,171.095,51.028,184.399
Yverdon,117.775,76.128,69.764,77.779,65.356,98.505,64.49,157.757,117.475,32.845,52.681,84.204,89.379,87.826,150.402,119.482,55.822,109.097,211.689,37.525,62.839,98.407,88.313,84.766,62.484,37.442,103.133,48.999,37.718,65.896,74.098,116.037,77.729,88.769,49.618,143.825,128.807,91.06,54.013,151.036,211.689,89.312,48.888,58.965,172.128,0.0,169.198,194.708
Zinal,305.979,197.458,234.241,110.01,143.576,211.768,122.873,40.006,282.236,146.108,167.574,197.467,202.642,201.089,129.551,137.343,222.814,230.427,162.291,136.633,229.83,116.268,201.575,88.724,107.824,150.705,267.894,134.414,204.709,179.158,194.095,304.241,109.96,202.032,131.623,27.31,44.902,80.999,137.661,61.924,162.291,107.525,183.717,116.758,51.803,169.158,0.0,316.038
Zürich,142.211,121.556,117.173,223.999,179.553,287.677,195.665,303.977,120.486,222.017,152.86,273.376,278.551,276.998,139.928,204.836,155.858,104.359,85.178,226.697,176.945,244.627,277.485,230.986,208.704,226.614,105.399,201.437,150.599,255.068,125.325,140.473,223.949,277.941,200.646,290.045,275.027,237.28,184.736,297.256,85.178,235.532,238.06,205.19,220.823,193.683,315.418,0.0
